FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
fairwayz1.log.z1.tdn.hzl.ilx.com,10.179.3.70/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,LOG,LOG,Business Silo,
fairwayz1.main.z1.tdn.hzl.ilx.com,10.181.192.23/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
fairwayz1.out.z1.tdn.hzl.ilx.com,10.53.22.23/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
fairwayz1.tpfun.z1.tdn.hzl.ilx.com,10.179.3.199/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
fismz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.12/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,HOSTHYPER,Business Site,YES
fitdbserverz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.13/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
fringez1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.197/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,ARBI10,ARBI10,Business Silo,
fringez1.filer.z1.tdn.hzl.ilx.com,10.181.194.16/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
fringez1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.13/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
fringez1.idcm.z1.tdn.hzl.ilx.com,10.179.0.25/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
fringez1.log.z1.tdn.hzl.ilx.com,10.179.3.71/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,LOG,LOG,Business Silo,
fringez1.main.z1.tdn.hzl.ilx.com,10.181.192.25/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
fringez1.out.z1.tdn.hzl.ilx.com,10.53.22.25/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
fringez1.tpfun.z1.tdn.hzl.ilx.com,10.179.3.201/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
galaxyz1.a.livetkr.z1.tdn.hzl.ilx.com,10.179.4.67/27,A.LIVETKR,10.179.4.64/27,10.179.4.95,HZL-COLO-MCE1-LIVETKR1-1,1511,TKR,TKR,Business Site,
galaxyz1.a.sitetkr.z1.tdn.hzl.ilx.com,10.179.4.99/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,TKR,TKR,Business Site,
galaxyz1.b.livetkr.z1.tdn.hzl.ilx.com,10.179.4.131/27,B.LIVETKR,10.179.4.128/27,10.179.4.159,HZL-COLO-MCE1-LIVETKR2-1,1611,TKR,TKR,Business Site,
galaxyz1.b.sitetkr.z1.tdn.hzl.ilx.com,10.179.4.163/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,TKR,TKR,Business Site,
galaxyz1.filer.z1.tdn.hzl.ilx.com,10.181.194.18/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
galaxyz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.27/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
