System Name,Model Name,Serial Number,Cabinet Name,System Port Name,Switch Name,Switch Cabinet Name,Switch Port Name,Logical Net Group,Port Speed
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 9 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/08,PROD,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 11 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/08,PROD,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 4 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/12,GTDL,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 9 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/13,LOG,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/12,GTDL,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 11 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/13,LOG,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 7 port 1,HZL-COLO-NONPTDNAGG3-SWA3,HZL-Q1-C1,E1/07,ARBI40,40Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 1 port 1,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/08,ARBI10,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 1 port 2,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/09,ETG,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 4 port 2,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/10,ETG,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 2 port 1,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/08,ARBI10,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 2 port 2,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/09,ETG,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/10,ETG,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 9 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/09,PROD,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 11 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/09,PROD,10Gb
fairwayq1,X4-8,1523NM8003,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/36,GTDL,10Gb
fairwayq1,X4-8,1523NM8003,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 10 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/37,LOG,10Gb
fairwayq1,X4-8,1523NM8003,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/38,TPFUN,10Gb
fairwayq1,X4-8,1523NM8003,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 4 port 1,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/36,GTDL,10Gb
fairwayq1,X4-8,1523NM8003,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 8 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/37,LOG,10Gb
