FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
divotz2.filer.z2.tdn.hzl.ilx.com,10.181.194.10/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
divotz2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.8/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
divotz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.18/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
divotz2.log.z2.tdn.hzl.ilx.com,10.179.3.132/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,LOG,LOG,Business Silo,
divotz2.main.z2.tdn.hzl.ilx.com,10.181.192.18/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
divotz2.out.z2.tdn.hzl.ilx.com,10.53.22.18/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
divotz2.tpfun.z2.tdn.hzl.ilx.com,10.179.3.198/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
dtpfepcz2a.hyper.z2.tdn.hzl.ilx.com,10.53.21.10/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
dtpfepcz2n.hyper.z2.tdn.hzl.ilx.com,10.53.21.11/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
eaglez2.a.arbi10.z2.tdn.hzl.ilx.com,10.179.4.228/27,A.ARBI10,10.179.4.224/27,10.179.4.255,HZL-COLO-MCE1-ARBI2-2,1703,ARBI10,ARBI10,Business Silo,
eaglez2.a.arbi40.z2.tdn.hzl.ilx.com,10.179.4.34/27,A.ARBI40,10.179.4.32/27,10.179.4.63,HZL-COLO-MCE1-ARBI2-1,1701,ARBI40,ARBI40,Business Silo,
eaglez2.a1.etg.z2.tdn.hzl.ilx.com,10.110.15.132/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,ETG,ETG,Business Site,
eaglez2.b1.etg.z2.tdn.hzl.ilx.com,10.110.16.132/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,ETG,ETG,Business Site,
eaglez2.filer.z2.tdn.hzl.ilx.com,10.181.194.13/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
eaglez2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.10/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
eaglez2.idcm.z2.tdn.hzl.ilx.com,10.179.0.22/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
eaglez2.log.z2.tdn.hzl.ilx.com,10.179.3.133/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,LOG,LOG,Business Silo,
eaglez2.main.z2.tdn.hzl.ilx.com,10.181.192.22/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
eaglez2.out.z2.tdn.hzl.ilx.com,10.53.22.22/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
fairwayz2.a.arbi40.z2.tdn.hzl.ilx.com,10.179.4.35/27,A.ARBI40,10.179.4.32/27,10.179.4.63,HZL-COLO-MCE1-ARBI2-1,1701,ARBI40,ARBI40,Business Silo,
