FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
excresz2.filer.z2.tdn.hzl.ilx.com,10.181.194.49/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,tdneodz2,PROD,PRODHYPER,Business Site,YES
excresz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.81/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,tdneodz2,PROD,PRODHYPER,Business Site,YES
excresz2.main.z2.tdn.hzl.ilx.com,10.181.192.81/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,tdneodz2,PROD,PRODHYPER,Business Site,YES
excresz2.out.z2.tdn.hzl.ilx.com,10.53.22.81/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,tdneodz2,PROD,PRODHYPER,Business Site,YES
fitdbz2.filer.z2.tdn.hzl.ilx.com,10.181.194.51/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,fitdbserverz2,PROD,PRODHYPER,Business Site,YES
fitdbz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.83/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,fitdbserverz2,PROD,PRODHYPER,Business Site,YES
fitdbz2.main.z2.tdn.hzl.ilx.com,10.181.192.83/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,fitdbserverz2,PROD,PRODHYPER,Business Site,YES
fitdbz2.out.z2.tdn.hzl.ilx.com,10.53.22.83/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,fitdbserverz2,PROD,PRODHYPER,Business Site,YES
fixedz2.a1.exch.z2.tdn.hzl.ilx.com,159.44.249.11/26,A1.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz2a,EXCH,EXCH,Business Site,
fixedz2.a2.exch.z2.tdn.hzl.ilx.com,159.44.249.16/26,A2.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz2a,EXCH,EXCH,Business Site,
