FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
cmefepq2.feed.q1.tdnqa.hzl.ilx.com,10.179.10.15/25,FEED,10.179.10.0/25,10.179.10.127,HZL-COLO-MCE2-FEED-1,1800,dtpfepcq2a,FEED,FEED,Business Site,
cmefepq2.fepc.q1.tdnqa.hzl.ilx.com,10.179.10.143/25,FEPC,10.179.10.128/25,10.179.10.255,HZL-COLO-MCE2-FEPC-1,1801,dtpfepcq2a,FEPC,FEPC,Business Site,
cmefepq2.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.53/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,dtpfepcq2a,PROD,PRODHYPER,Business Site,YES
cmefepq2.main.q1.tdnqa.hzl.ilx.com,10.181.196.53/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,dtpfepcq2a,PROD,PRODHYPER,Business Site,YES
cmefepq2.out.q1.tdnqa.hzl.ilx.com,10.53.30.53/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,dtpfepcq2a,PROD,PRODHYPER,Business Site,YES
dpfunq1.a.sitetkr.q1.tdnqa.hzl.ilx.com,10.179.12.97/27,A.SITETKR,10.179.12.96/27,10.179.12.127,HZL-COLO-MCE2-UP4TKR1-2,1512,pfunq1,TKR,TKR,Business Site,
dpfunq1.b.sitetkr.q1.tdnqa.hzl.ilx.com,10.179.12.161/27,B.SITETKR,10.179.12.160/27,10.179.12.191,HZL-COLO-MCE2-UP4TKR2-2,1612,pfunq1,TKR,TKR,Business Site,
dpfunq1.filer.q1.tdnqa.hzl.ilx.com,10.181.198.28/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,pfunq1,PROD,PRODHYPER,Business Site,YES
dpfunq1.fundist1.q1.tdnqa.hzl.ilx.com,10.179.52.3/27,FUNDIST1,10.179.52.0/27,10.179.52.31,HZL-COLO-MCE2-FUNDIST1-1,1510,pfunq1,FUNDIST,FUNDIST,Business Product,
dpfunq1.fundist2.q1.tdnqa.hzl.ilx.com,10.179.52.131/27,FUNDIST2,10.179.52.128/27,10.179.52.159,HZL-COLO-MCE2-FUNDIST2-1,1610,pfunq1,FUNDIST,FUNDIST,Business Product,
dpfunq1.funmcast1.q1.tdnqa.hzl.ilx.com,10.179.52.35/27,FUNMCAST1,10.179.52.32/27,10.179.52.63,HZL-COLO-MCE2-FUNMCAST1-1,1510,pfunq1,FUNDIST,FUNDIST,Business Product,
dpfunq1.funmcast2.q1.tdnqa.hzl.ilx.com,10.179.52.163/27,FUNMCAST2,10.179.52.160/27,10.179.52.191,HZL-COLO-MCE2-FUNMCAST2-1,1610,pfunq1,FUNDIST,FUNDIST,Business Product,
dpfunq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.118/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,pfunq1,PROD,PRODHYPER,Business Site,YES
dpfunq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.118/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,pfunq1,PROD,PRODHYPER,Business Site,YES
dpfunq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.118/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,pfunq1,PROD,PRODHYPER,Business Site,YES
dpfunq1.tpfun.q1.tdnqa.hzl.ilx.com,10.179.11.203/26,TPFUN,10.179.11.192/26,10.179.11.255,HZL-COLO-MCE2-TPFUN-1,1805,pfunq1,TPFUN,TPFUN,Business Site,
dpfunq2.a.sitetkr.q1.tdnqa.hzl.ilx.com,10.179.12.103/27,A.SITETKR,10.179.12.96/27,10.179.12.127,HZL-COLO-MCE2-UP4TKR1-2,1512,pfunq2,TKR,TKR,Business Site,
dpfunq2.b.sitetkr.q1.tdnqa.hzl.ilx.com,10.179.12.167/27,B.SITETKR,10.179.12.160/27,10.179.12.191,HZL-COLO-MCE2-UP4TKR2-2,1612,pfunq2,TKR,TKR,Business Site,
dpfunq2.filer.q1.tdnqa.hzl.ilx.com,10.181.198.31/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,pfunq2,PROD,PRODHYPER,Business Site,YES
dpfunq2.fundist1.q1.tdnqa.hzl.ilx.com,10.179.52.5/27,FUNDIST1,10.179.52.0/27,10.179.52.31,HZL-COLO-MCE2-FUNDIST1-1,1510,pfunq2,FUNDIST,FUNDIST,Business Product,
dpfunq2.fundist2.q1.tdnqa.hzl.ilx.com,10.179.52.133/27,FUNDIST2,10.179.52.128/27,10.179.52.159,HZL-COLO-MCE2-FUNDIST2-1,1610,pfunq2,FUNDIST,FUNDIST,Business Product,
dpfunq2.funmcast1.q1.tdnqa.hzl.ilx.com,10.179.52.37/27,FUNMCAST1,10.179.52.32/27,10.179.52.63,HZL-COLO-MCE2-FUNMCAST1-1,1510,pfunq2,FUNDIST,FUNDIST,Business Product,
dpfunq2.funmcast2.q1.tdnqa.hzl.ilx.com,10.179.52.165/27,FUNMCAST2,10.179.52.160/27,10.179.52.191,HZL-COLO-MCE2-FUNMCAST2-1,1610,pfunq2,FUNDIST,FUNDIST,Business Product,
dpfunq2.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.135/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,pfunq2,PROD,PRODHYPER,Business Site,YES
dpfunq2.main.q1.tdnqa.hzl.ilx.com,10.181.196.135/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,pfunq2,PROD,PRODHYPER,Business Site,YES
dpfunq2.out.q1.tdnqa.hzl.ilx.com,10.53.30.135/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,pfunq2,PROD,PRODHYPER,Business Site,YES
